2025-07-08T08:49:54.957+08:00  WARN 99473 --- [MyWebProject] [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9h27m40s805ms).
2025-07-08T09:08:36.581+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing POST /login
2025-07-08T09:08:41.390+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /chatrooms?userId=4
2025-07-08T09:08:41.491+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:08:41.505+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 6067888536BD07EC373863A87140CFEF
2025-07-08T09:08:41.506+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:08:41.512+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:08:41.512+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:08:41.521+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:08:41.521+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:08:41.714+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:08:41.730+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 927B177FD69C174C0D85151308BEE15F
2025-07-08T09:08:41.739+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:08:41.867+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /uploads/products/2_1751872983771_0.jpg
2025-07-08T09:08:41.868+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:08:41.868+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /uploads/products/2_1751872983771_0.jpg
2025-07-08T09:08:41.911+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T09:08:41.912+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:08:41.913+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T09:08:41.936+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T09:08:41.937+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:08:41.938+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T09:09:14.914+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /product/2
2025-07-08T09:09:14.917+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T09:09:14.917+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing PUT /product/view/2
2025-07-08T09:09:14.917+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:14.918+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing PUT /product/view/2
2025-07-08T09:09:14.918+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:14.918+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T09:09:14.918+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured PUT /product/view/2
2025-07-08T09:09:14.918+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:14.919+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured PUT /product/view/2
2025-07-08T09:09:14.921+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:14.922+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /twd-jpy
2025-07-08T09:09:14.922+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /product/2
2025-07-08T09:09:14.922+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:14.923+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /twd-jpy
2025-07-08T09:09:14.956+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T09:09:14.957+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:14.958+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T09:09:14.967+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /product/2
2025-07-08T09:09:14.968+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:14.968+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /product/2
2025-07-08T09:09:15.020+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /uploads/products/2_1751872983771_0.jpg
2025-07-08T09:09:15.020+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:15.021+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /uploads/products/2_1751872983771_0.jpg
2025-07-08T09:09:15.040+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:09:15.045+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:09:15.058+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:15.062+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 9E81045CF7E8253009D2B00C6F2B09D0
2025-07-08T09:09:15.063+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:09:15.065+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:09:15.066+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:09:15.073+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:09:15.090+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:09:15.093+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:09:15.095+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:09:15.151+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:15.159+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:09:15.394+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:09:15.395+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:15.395+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:09:15.410+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from C665AED8814DAB4AA22396286AA45C6C
2025-07-08T09:09:15.411+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:09:15.412+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:09:15.414+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:09:15.451+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:15.456+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:09:15.844+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /twd-jpy
2025-07-08T09:09:15.846+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:15.846+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 9E81045CF7E8253009D2B00C6F2B09D0
2025-07-08T09:09:15.846+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /twd-jpy
2025-07-08T09:09:18.099+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:09:18.098+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /categories
2025-07-08T09:09:18.101+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:18.098+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /products
2025-07-08T09:09:18.098+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:09:18.102+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:18.101+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:18.104+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /categories
2025-07-08T09:09:18.104+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /products
2025-07-08T09:09:18.125+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 0917396DEAEA98D8E97570C2D0C8EF4C
2025-07-08T09:09:18.126+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:09:18.145+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:09:18.151+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:09:18.161+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:09:18.171+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:09:18.198+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:09:18.206+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:09:18.214+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /products
2025-07-08T09:09:18.215+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:18.216+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 0917396DEAEA98D8E97570C2D0C8EF4C
2025-07-08T09:09:18.217+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Secured GET /products
2025-07-08T09:09:18.220+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /categories
2025-07-08T09:09:18.221+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:18.221+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 0917396DEAEA98D8E97570C2D0C8EF4C
2025-07-08T09:09:18.221+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /categories
2025-07-08T09:09:18.238+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:18.244+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:09:18.691+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:09:18.705+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 8A59366291CB27DC9807E82597A6C31E
2025-07-08T09:09:18.705+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /check-login
2025-07-08T09:09:18.709+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T09:09:18.709+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:18.710+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 8A59366291CB27DC9807E82597A6C31E
2025-07-08T09:09:18.709+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:09:18.711+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-5] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T09:09:18.710+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:18.717+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:09:18.718+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-10] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
2025-07-08T09:09:18.728+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /store/all
2025-07-08T09:09:18.728+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:18.729+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.s.w.session.SessionManagementFilter  : Request requested invalid session id 8A59366291CB27DC9807E82597A6C31E
2025-07-08T09:09:18.729+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /store/all
2025-07-08T09:09:18.780+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Securing GET /uploads/products/2_1751872983771_0.jpg
2025-07-08T09:09:18.783+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:18.784+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-7] o.s.security.web.FilterChainProxy        : Secured GET /uploads/products/2_1751872983771_0.jpg
2025-07-08T09:09:18.826+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:18.838+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from E2121B9325FCEB71EBB50883158F8E9B
2025-07-08T09:09:18.841+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-6] o.s.security.web.FilterChainProxy        : Secured GET /chatrooms?userId=4
2025-07-08T09:09:32.198+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Securing GET /product/search?keywords=t
2025-07-08T09:09:32.203+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2025-07-08T09:09:32.203+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-9] o.s.security.web.FilterChainProxy        : Secured GET /product/search?keywords=t
2025-07-08T09:09:32.201+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /userinfo
2025-07-08T09:09:32.201+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /check-login
2025-07-08T09:09:32.198+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-4] o.s.security.web.FilterChainProxy        : Securing GET /chatrooms?userId=4
2025-07-08T09:09:32.212+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] .s.ChangeSessionIdAuthenticationStrategy : Changed session id from 06B4D28FC34ED80926E41668D79262BD
2025-07-08T09:09:32.213+08:00 DEBUG 99473 --- [MyWebProject] [http-nio-8080-exec-3] o.s.security.web.FilterChainProxy        : Secured GET /userinfo
